# Hs,H10,Hmax,Tmed,THmax,Hm0,Tp,Dp
1.39,1.72,2.20,6.79,7.00,1.55,5.56,60.11
1.38,1.67,2.08,7.34,7.00,1.51,6.25,75.08
1.43,1.68,2.06,7.14,8.00,1.56,6.06,78.46
1.36,1.72,3.09,6.80,9.00,1.46,6.25,82.04
1.23,1.49,1.82,6.97,7.00,1.30,6.67,72.14
1.22,1.48,1.86,7.28,7.00,1.37,5.88,74.24
1.18,1.46,2.12,7.06,9.00,1.29,5.88,74.30
1.06,1.31,1.62,7.25,9.00,1.08,6.67,64.07
1.05,1.33,1.94,7.18,10.00,1.13,6.45,70.39
0.96,1.21,1.62,7.02,10.00,1.04,5.56,70.35
0.86,1.06,1.36,6.85,9.00,0.99,5.26,66.22
0.86,1.07,1.52,7.07,9.00,0.95,5.71,83.53
0.92,1.11,1.45,7.25,9.00,1.04,6.25,88.13
0.91,1.12,1.41,7.22,9.00,1.03,6.90,72.79
0.99,1.21,1.67,7.37,8.00,1.04,6.06,79.07
0.95,1.16,1.58,7.29,9.00,1.04,5.56,83.37
0.93,1.11,1.37,6.85,11.00,1.02,5.71,90.32
0.88,1.11,1.31,6.69,8.00,0.97,6.45,80.26
0.93,1.13,1.47,6.98,12.00,1.01,7.14,87.47
0.95,1.23,1.71,6.70,9.00,1.08,6.90,79.73
1.00,1.20,1.48,7.24,7.00,1.08,6.67,82.42
0.92,1.13,1.52,6.95,8.00,1.04,6.90,84.96
0.92,1.18,1.49,7.31,10.00,1.01,6.90,73.43
0.88,1.08,1.32,6.97,9.00,0.98,7.14,84.99
0.90,1.08,1.47,6.67,11.00,1.00,7.14,80.39
0.87,1.09,1.52,6.91,10.00,0.94,11.11,186.48
0.98,1.21,1.61,6.77,7.00,1.06,6.90,74.87
1.10,1.35,1.71,6.37,7.00,1.24,3.77,38.19
1.23,1.52,2.14,6.65,8.00,1.35,7.14,84.66
1.07,1.28,1.63,6.61,8.00,1.21,6.45,78.46
1.05,1.22,1.49,6.74,13.00,1.15,6.06,86.35
1.09,1.30,1.63,7.24,10.00,1.20,6.25,84.63
1.04,1.28,1.64,7.50,10.00,1.15,6.67,84.28
1.01,1.28,1.73,7.04,7.00,1.13,6.45,73.58
1.15,1.38,1.68,7.58,12.00,1.23,6.25,83.49
1.12,1.40,2.22,7.77,10.00,1.20,6.90,92.42
1.29,1.59,2.02,7.92,10.00,1.41,6.25,133.89
1.31,1.60,2.22,8.70,9.00,1.45,8.70,206.65
1.19,1.41,1.69,8.41,13.00,1.28,6.06,164.57
